author,category,name
唐家三少,玄幻,斗罗大陆
妖夜,玄幻,焚天之怒
寂无,都市,校花之贴身高手
寒门,都市,奶爸的文艺人生
乱,游戏,联盟之谁与争锋
忘语,仙侠,凡人修仙传
蝴蝶蓝,游戏,全职高手
辰东,仙侠,遮天
我吃西红柿,科幻,吞噬星空
王梓钧,历史,民国之文豪崛起
荣小荣,历史,逍遥小书生
远瞳,科幻,异常生物见闻录
天蚕土豆,玄幻,武动乾坤
胜己,玄幻,战神无敌
丛林狼,军事,最强兵王
辰东,玄幻,完美世界
老鹰吃小鸡,都市,重生之财源滚滚
天蚕土豆,玄幻,大主宰
我吃西红柿,仙侠,莽荒纪
卖报小郎君,都市,我的姐姐是大明星
贱宗首席弟子,历史,大魏宫廷
志鸟村,都市,重生之神级学霸
孑与2,历史,唐砖
血红,玄幻,万界天尊
鹅是老五,仙侠,最强弃少
如水意,军事,佣兵的战争
耳根,仙侠,仙逆
石闻,科幻,两界搬运工
猫腻,玄幻,将夜
三天两觉,游戏,惊悚乐园
三戒大师,历史,大官人
常书欣,现实,余罪
通吃道人.QD,科幻,废土崛起
犁天,玄幻,三界独尊
8难,都市,至尊兵王
特别白,历史,大明武夫
唐家三少,玄幻,天珠变
叶之凡,玄幻,七界武神
可大可小,军事,交锋
五志,仙侠,妙医圣手
老徐牧羊,都市,生于1984
秋风123,都市,终极高手
爱潜水的乌贼,玄幻,一世之尊
妖月夜,玄幻,不死武尊
发飙的蜗牛,游戏,重生之贼行天下
必火,都市,都市最强装逼系统
八月飞鹰,玄幻,史上最强师兄
诸羊黄昏,都市,史上最牛道长
烽火成林,都市,我家客人你惹不起
明日复明日,都市,超级兵王在都市
薪意,玄幻,神门
石三,玄幻,创世至尊
耳根,仙侠,求魔
苍山月,历史,调教大宋
微笑大师,都市,玄帝归来
刀一耕,都市,完美人生
贼眉鼠眼,历史,贞观大闲人
赤色星尘,军事,最强特种兵之龙刺
鹅是老五,仙侠,造化之门
宅猪,玄幻,人道至尊
流水曲觞,都市,都市超强神医
苏牧武,都市,读书成圣
跃千愁,仙侠,飞天
打眼,都市,黄金瞳
尘风,军事,龙组兵王
风凌天下,玄幻,异世邪君
蚕茧里的牛,玄幻,武极天下
李古丁,科幻,欢迎来到BOSS队
快餐店,玄幻,主宰之王
封七月,武侠,最强反派系统
君落花,玄幻,至尊战神
爱潜水的乌贼,玄幻,武道宗师
南派三叔,灵异,盗墓笔记
丧尸舞,体育,跑出我人生
国王陛下,仙侠,从前有座灵剑山
我爱美人鱼,都市,我的冷艳总裁老婆
小刀锋利,玄幻,弑天刃
李四羊,二次元,火影之活久见
我狙个栗子,都市,无限福利神豪
余云飞,奇幻,暴风法神
雨去欲续,都市,重生之2006
陶良辰,都市,大牧场主
七世狂人,都市,超级金钱帝国
574981,军事,抗日之铁血智将
风云指上,都市,偷盗万界
爱潜水的乌贼,玄幻,奥术神座
锋临天下,都市,重生过去当神厨
新丰,都市,彪悍的人生
顾大石,都市,灵魂导游
孑与2,历史,大宋的智慧
如倾如诉,科幻,直死无限
奥比椰,都市,金牌主持
黑乎乎的老妖,游戏,超级卡牌系统
傅啸尘,玄幻,武神空间
林海听涛,体育,冠军之光
为情成痴,都市,疯狂神豪玩科技
幼儿园一把手,都市,调戏文娱
上山打老虎额,历史,大文豪
打眼,都市,天才相师
会说话的肘子,都市,我是大玩家
鱼儿小小,都市,都市之国术无双
山下出水,历史,大唐风华路
木允锋,历史,历史粉碎机
九悟,历史,奋斗在红楼
黑山老鬼,仙侠,掠天记
原艾伦,科幻,宇宙的边缘世界
银河九天,都市,首席御医
偷名,都市,神豪无极限
楼下赫本,都市,重生之神级明星
二十二刀流,科幻,末世大回炉
青史尽成灰,历史,大宋将门
千回转,都市,重生日本当厨神
被罚站的豆豆,玄幻,狂武战帝
我叫排云掌,科幻,武侠世界大穿越
静夜寄思,都市,仙界归来
空明音,二次元,我的女仆是恶魔
夜云端,玄幻,通天武尊
南黎川,都市,神人沈度
黑色的单车,都市,我的镀金时代
薛之芊,玄幻,太古龙帝诀
辰东,玄幻,神墓
纪茗,科幻,记忆苍穹
巫九,灵异,阴阳鬼术
十个莲蓬,都市,全职业训练师
银霜骑士,奇幻,极道骑士
南山隐士,都市,农家仙田
血红,玄幻,巫神纪
我吃西红柿,奇幻,盘龙
驿路羁旅,奇幻,美漫世界霸王轨迹
横扫天涯,玄幻,无尽丹田
全金属弹壳,都市,黄金渔场
皇甫奇,玄幻,大周皇族
绯炎,游戏,琥珀之剑
百里玺,仙侠,仙城之王
时间的守护者,奇幻,阿拉德之剑
背着家的蜗牛,历史,钢铁皇朝
蝼蚁望天,军事,特种兵之利刃
兔来割草,体育,篮坛教皇
巫九,灵异,阴阳先生
夜月风铃,武侠,长生在武侠世界
三戒大师,历史,官居一品
要离刺荆轲,历史,我要做皇帝
奥尔良烤鲟鱼堡,科幻,星河贵族
林海听涛,体育,冠军之心
五志,仙侠,玄门高手在都市
宅猪,仙侠,帝尊
打眼,都市,宝鉴
月空楼阁,科幻,某美漫的一方通行
猫腻,玄幻,间客
大飞艇,科幻,最终猎杀
叶天南,都市,超级医生
跃千愁,仙侠,修真界败类
白色孤岛1,军事,抗战之血染山河
王大布,体育,我是瓦尔迪
流泪的啤酒,奇幻,法师亚当
酒池醉,玄幻,异世之召唤文臣猛将
步枪,军事,中国猎人
风三十五,军事,高危职业
独孤逝水,都市,校花的贴身狂少
胜己,玄幻,邪少药王
我吃西红柿,仙侠,星辰变
血红,玄幻,光明纪元
吴老狼,历史,隋末我为王
东人,都市,宝瞳
猫腻,历史,庆余年
辰机唐红豆,都市,重生之神级败家子
蠢蠢凡愚QD,都市,汽车黑科技
蔡晋,都市,至尊医道
晨星LL,科幻,我在末世有套房
青棘,二次元,变身之萝莉主播
胖达福,都市,超级潇洒人生
色即舍,都市,超级小村民
上古圣贤,游戏,网游之逆天戒指
甲鱼不是龟,仙侠,大泼猴
鸿蒙树,都市,巅峰小农民
苍天白鹤,玄幻,战天
庚新,历史,曹贼
开荒,仙侠,剑动山河
苍天白鹤,玄幻,武神
佛前献花,仙侠,聊斋大圣人
秋刀斩鱼,都市,就问你气不气
妖仙公子,科幻,黑暗大纪元
驾雾,科幻,混在漫威当法爷
七七家d猫猫,都市,巨星
左耳思念,都市,都市之最强纨绔
全金属弹壳,都市,捡宝王
傲天无痕,玄幻,无上神通
云中纸.CS,二次元,超魔导学园
府天,历史,盛唐风月
上山打老虎额,历史,庶子风流
老白牛,历史,明末边军一小兵
何处不染尘,玄幻,神魔供应商
幻雨,仙侠,百炼成仙
古剑锋,科幻,机甲天王
秋晨,仙侠,九仙图
木榆,都市,校园修真高手
七十二编,科幻,冒牌大英雄
高楼大厦,玄幻,叱咤风云
黑弦,仙侠,一言通天
荆柯守,仙侠,易鼎
莫默,玄幻,唐门高手在异世
逐利人生,游戏,网游之巅峰召唤
河流之汪,二次元,妙木山的塔姆仙人
步枪,军事,奋斗1981
高月,历史,天下
摇摇-欲坠,历史,重生欧美当大师
萧瑟良,都市,黑卡
一行白鹭上青天,奇幻,巫师之旅
笙箫剑客,游戏,网游之全球在线
醛石,都市,山洼小富农
孤雁影,玄幻,九霄帝主
大烟缸,游戏,神级英雄
流浪,都市,美女市长老婆
秋月春风矣,军事,青山依旧在，几度夕阳红
夜南听风,二次元,神级剑魂系统
我爱厨房,游戏,游戏开发指南
血红,仙侠,偷天
快餐店,玄幻,永恒之心
木子蓝色,历史,唐朝好地主
尼姑庵的和尚,都市,都市最强特种兵
米酿,历史,明末工程师
八月飞鹰,玄幻,史上第一祖师爷
猪三不,玄幻,掌御星辰
晨风天堂,历史,唐朝好舅子
新丰,玄幻,最强的系统
李家老店,都市,天庭清洁工
博耀,仙侠,九炼归仙
画画大匠人,科幻,影视会员大穿越
雷云风暴,游戏,从零开始
淡定从容的某人,玄幻,雄霸蛮荒
中秋月明,都市,逍遥军医
狂风徐徐,都市,重生之光辉人生
沉默的忧伤,游戏,网游之三国无双
汉宝,玄幻,移动藏经阁
司徒静璇,都市,警花的近身高手
鱼人二代,都市,很纯很暧昧
高月,历史,天下枭雄
叶恨水,都市,万界淘宝商
难山之下,历史,明朝小侯爷
惊艳一脚,体育,超级全能巨星
墨渊九砚,二次元,火影之最强卡卡西
老猫三千问,都市,我真的是演员
妖月夜,玄幻,神荒龙帝
霞飞双颊,玄幻,召唤万岁
楚白,仙侠,天书奇谭
银色纪念币,都市,超神幼稚园
华表,科幻,龙骑战机
暴兵对A,科幻,随身带着星际争霸
陌路行,都市,修真归来在都市
沙中灰,灵异,阴阳鬼医
魔性沧月,都市,脑洞大爆炸
咸鱼不惧突刺,游戏,艾泽拉斯游侠之王
爱潜水的乌贼,仙侠,灭运图录
寻雾者,仙侠,在仙界当漫画家
飞燕,玄幻,至尊妖皇
亚当德里亚,奇幻,万界至尊大领主
张扬的五月,游戏,网游之倒行逆施
五陵,都市,娱乐大顽家
唐家三少,奇幻,酒神
齐橙,都市,工业霸主
卓牧闲,都市,韩警官
五志,仙侠,神级巫医在都市
卜非,灵异,与千年女鬼同居的日子
牧尘客,都市,混世矿工
七品,军事,单兵为王
滚开,奇幻,神秘之旅
檀芸,历史,大明之崇祯大帝
寂无,都市,美女总裁之贴身高手
侠扯蛋,玄幻,大话西游之超级小白龙
时间海藻,玄幻,神奇铁匠铺
蒜书,玄幻,星武通神
亘古孤寂2,玄幻,诸天仙武
特别白,历史,锦衣当国
小陆探花,现实,逆流2002
烛,都市,拣宝
口袋,都市,都市贴心保镖
秦小词,科幻,末世之全能大师
雪满弓刀,仙侠,不朽剑神
我是曹宁,军事,蝶与谍
墨乡,游戏,完美机甲剑神
苒月,都市,贴身兵王
会说话的肘子,游戏,英雄联盟之灾变时代
睡觉会变白,都市,文艺时代
枫叶缀,二次元,龙珠之最强神话
小城古道,都市,超时空垃圾站
蚂蚁很给力,都市,重生最强特种兵
无量摩诃,科幻,无限十万年
佘大,科幻,真科技无双
傲无常,玄幻,惟我神尊
龙大人,游戏,网游之射破苍穹
高楼大厦,玄幻,武帝
安化军,历史,一世富贵
桃子卖没了,都市,隐身侍卫
船长,都市,我的美女公寓
寂寞的羔洋,科幻,帝临诸天
小刀锋利,玄幻,傲剑天穹
宅猪,仙侠,独步天下
会魔法的小猪,仙侠,重生西游之万界妖尊
凿砚,玄幻,系统供应商
贼眉鼠眼,历史,明朝伪君子
四行,都市,兵王传奇
骷髅精灵,玄幻,雄霸天下
何无恨,玄幻,刀破苍穹
犁天,玄幻,气冲星河
南希北庆,历史,北宋小厨师
一蓑烟雨dj,历史,开着外挂闯三国
念响,灵异,鬼咒
流泪的鱼wyj,军事,铁血德意志
小段探花,仙侠,修神外传
我知鱼之乐,游戏,网游大摸金
萧舒,玄幻,异世为僧
陈词懒调,都市,回到过去变成猫
蔡晋,都市,重生世家子
远古莱德,体育,NBA万界商城
想不想吃西瓜,都市,环保大师
汉宝,玄幻,异世医仙
zhttty,科幻,无限恐怖
古羲,科幻,重启末世
吉风冰,科幻,末世狩猎人
我吃西红柿,武侠,九鼎记
志鸟村,都市,超级能源强国
唐家三少,奇幻,琴帝
季老板,仙侠,重生之都市仙王
三七开,历史,三国之蜀汉我做主
留心金碧年深,都市,超级英雄间谍派
石三,玄幻,统御万界
七品,军事,兵者为王
莫问初心,仙侠,重生之逆战西游
人勿玩人,科幻,纪元黎明
本物天下霸唱,灵异,鬼吹灯（盗墓者的经历）
小伈,都市,德猎
鱼人二代,都市,极品修真强少
龙灵骑士,军事,我的第三帝国
夜色静悄悄,玄幻,信仰大爆炸
紫梦幽龙,灵异,赶尸道长
言龙,二次元,僵尸崛起系统
一缕浮华,二次元,火影之远途
小小羽,都市,超级黄金手
醉卧花间.CS,历史,开着房车回大唐
傲无常,仙侠,大魔头
银色纪念币,都市,重生铸梦
末日游侠,历史,唐朝最佳闲王
朝不保夕,玄幻,信仰诸天
鹅是老五,都市,纨绔疯子
府天,历史,明朝谋生手册
叶天南,都市,绝品天医
明渐,都市,都市模拟人生
第十个名字,都市,重生潜入梦
尘风,都市,超能狂兵
残剑,玄幻,剑道邪尊
雨辰宇,玄幻,武极巅峰
古羲,科幻,黑暗文明
昨夜大雨,科幻,会穿越的外交官
小刀锋利,玄幻,唯我独尊
冥域天使,仙侠,史上第一掌门
九界第一少,都市,狂龙战狼
林海听涛,体育,禁区之雄
黑土冒青烟,玄幻,八零后少林方丈
文抄公,游戏,主神崛起
傲无常,历史,昏君
三千勿忘尽,游戏,英雄联盟：上帝之手
俊秀才,都市,美梦时代
齐橙,都市,材料帝国
有口难言,都市,都市巅峰强少
金色茉莉花,科幻,我的时空穿梭手机
跳舞,玄幻,天骄无双
贼道三痴,历史,雅骚
妙手摘星,都市,妖孽兵王
顾大石,都市,最强黑客
陈爱庭,体育,超能名帅
寂寞读南华,都市,官策
倾世大鹏,仙侠,无限之开荒者
枪手1号,历史,马踏天下
EK巧克力,玄幻,至尊箭神
牛五花,玄幻,不败升级
机器人瓦力,都市,电影大师
九当家,玄幻,神魔天尊
千古力,游戏,王者荣耀之最强战队
灰头小宝2,历史,大宋的最强纨绔子弟
乘风御剑,玄幻,弑天剑仙
黑袍雷斯林,科幻,守望黎明号
雁九,历史,重生于康熙末年
锈迹符文,科幻,开发次元世界
愤怒的松鼠,游戏,疯巫妖的实验日志
机器人瓦力,都市,最佳导演
讳岩,历史,三国之特工皇帝
青铜剑客,历史,三国之召唤猛将
一江寒月,体育,超级传奇巨星
穷四,都市,超品奇才
文抄公,奇幻,巫界术士
吃仙丹,都市,捡宝生涯
三戒大师,历史,一品江山
刀落,玄幻,雄霸神荒
小小羽,都市,神医圣手
此人苟且至今,都市,神豪的安逸生活
酸奶酪,军事,中华武将召唤系统
树叶里的星星,玄幻,我的老婆是女宗主
何不语,仙侠,觅仙
星之煌,二次元,遮天之万古独尊
蜜汁扣肉,都市,我是大科学家
真费事,都市,生物炼金手记
松子不吃糖,二次元,变身超毒舌少女
千影残光,二次元,一切从斗破苍穹开始
蝴蝶蓝,游戏,网游之近战法师
铁血丹心,仙侠,无上真仙
丛林狼,军事,丛林战神
阿风八千,仙侠,双天行
流浪的蛤蟆,仙侠,仙葫
上山打老虎额,历史,明朝好丈夫
纵马昆仑,都市,从笑星走向巨星
胡鳕,玄幻,独步山河
楚白,奇幻,邪神旌旗
黑瞳王,科幻,神魔养殖场
不啃菠萝皮,科幻,无限制穿越季
曲封,都市,重任
浙东匹夫,都市,喷神
发飙的蜗牛,游戏,独裁之剑
落花独立,游戏,无限之配角的逆袭
沧月傲天,都市,都市大仙君
七月新番,历史,春秋我为王
少年出英雄,科幻,无限之从写轮眼到轮回眼
盛世狼烟,都市,都市超级修仙妖孽
白雨涵,科幻,重卡战车在末世
虫梦,仙侠,寇道
家里第三胖,游戏,重生之暗夜崛起
京门菜刀,都市,歌星
豆子惹的祸,仙侠,升邪
唐四方,都市,相声大师
猪头七,体育,火爆巨星
海里的羊,科幻,极品掠夺系统
盛夏微暗,玄幻,绝世皇帝
李白不白,玄幻,悟空看私聊
8难,军事,超凡兵王
卿卫军,军事,特种兵王
呆萌的萝卜,游戏,这个大神开外挂
维斯特帕列,科幻,未来宠物店
五志,仙侠,超级仙医
玉爪俊,仙侠,蜀山旁门之祖
道门老九,灵异,我的盗墓生涯
断桥残雪,都市,修真老师生活录
红浮屠,玄幻,邪武神皇
女装胖虎,二次元,我就是四大魔王的第五位
旧生,游戏,英雄联盟之开挂直播系统
李暮歌,都市,特种兵王在都市
烛,都市,宅师
九姑良,军事,神级兵王
临渊,玄幻,绝脉武神
远征士兵,军事,抗战之中国远征军
风消逝,玄幻,武极宗师
十喜临门,都市,九项全能
五十块,科幻,我的房间有扇任意门
尊天不畏天,历史,大唐粮草王
陈爱庭,体育,绿茵教父
观棋,仙侠,长生不死
上山打老虎额,历史,娇妻如云
昨夜南风,仙侠,仙道邪君
鹰刀,都市,一锅鲲鹏炖不下
墨老黑,现实,无悔九二
秋刀斩鱼,都市,贵圈真乱
蓝白阁,仙侠,大界果
祝家大郎,历史,大宋好屠夫
西贝猫,游戏,召唤圣剑
暴走大气球,科幻,崛起漫画世界
我的小泰迪,科幻,大力美漫行
夜南听风,二次元,火影之最强震遁
小火光,灵异,人魅
黑眼白发,仙侠,洪荒之巫族大尊
穷拾叁,都市,我的搭档是财神
始于梦,玄幻,修罗天尊
彩虹之门,科幻,重生之超级战舰
胖子骑肥牛,都市,史上最强导演
衣山尽,历史,国士
怜黛佳人,都市,极品清纯总裁
三天两觉,都市,贩罪
万古青莲,玄幻,绝鼎丹尊
精品香烟,都市,风水大术士
跳舞,玄幻,猎国
陈爱庭,体育,超级教练
一念红尘,游戏,网游之狂兽逆天
大白之主,都市,都市神级强者
闲檀,都市,神级茶人
六时明亮,玄幻,武御圣帝
开荒,玄幻,神煌
夏天吃西瓜吧,奇幻,神魔术师
索斯,奇幻,剑与魔法与出租车
禹脉不肖子,科幻,美漫老油条
皇匍四少,仙侠,混沌不灭体
天堂羽,都市,上古传人在都市
叶不朽,都市,乡村透视小仙医
温言对酒,科幻,黑夜将至
庄毕凡,游戏,异界全职业大师
禹岩,历史,极品家丁
寒夜生花,游戏,英雄联盟之无敌抽奖系统
高月,历史,三国之兵临天下
姜梵,历史,三国之超级召唤系统
打死都要钱,玄幻,重生之我为神兽
坚强的小树,仙侠,神级兑换系统
零下九十度,科幻,超神建模师
想静静的顿河,二次元,变身在DC世界
徐广大,玄幻,吞噬魂帝
